Уральский ФО;10 ;12 ;28 ;42 ;15 ;18 ;9 ;36 ;30 ;32 ;32 ;38 ;14 ;31 ;36 ;51 ;44 ;64 ;89 ;33 ;48 ;61 ;42 ;34 ;17 ;32 ;24 ;27 ;17 ;35 ;35 ;36 ;63 ;31 ;50 ;44 ;38 ;27 
Курганская область;0 ;1 ;1 ;0 ;1 ;0 ;0 ;2 ;1 ;2 ;2 ;0 ;0 ;3 ;3 ;6 ;5 ;1 ;4 ;6 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;2 ;0 ;1 ;5 ;0 ;3 ;1 ;4 ;1 ;1 
Свердловская область;1 ;3 ;13 ;4 ;4 ;4 ;6 ;3 ;7 ;15 ;7 ;22 ;2 ;14 ;8 ;24 ;20 ;16 ;38 ;6 ;11 ;18 ;19 ;15 ;9 ;15 ;5 ;6 ;1 ;19 ;15 ;10 ;24 ;3 ;14 ;12 ;11 ;10 
Ханты-Мансийский АО - Югра;2 ;3 ;3 ;1 ;1 ;4 ;0 ;3 ;2 ;2 ;8 ;2 ;1 ;1 ;2 ;4 ;1 ;5 ;9 ;8 ;6 ;3 ;3 ;3 ;0 ;1 ;0 ;1 ;2 ;1 ;4 ;2 ;5 ;3 ;3 ;2 ;2 ;1 
Ямало-Ненецкий АО;0 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;1 ;3 ;1 ;0 ;1 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;4 ;1 ;1 ;1 ;1 ;5 ;8 ;3 ;1 ;1 
Тюменская область;6 ;4 ;8 ;7 ;8 ;5 ;2 ;24 ;15 ;5 ;11 ;4 ;8 ;8 ;20 ;10 ;14 ;20 ;22 ;8 ;19 ;32 ;13 ;8 ;4 ;8 ;12 ;6 ;5 ;7 ;11 ;13 ;18 ;13 ;17 ;21 ;6 ;7 
Челябинская область;1 ;0 ;3 ;30 ;0 ;5 ;1 ;4 ;4 ;7 ;1 ;9 ;3 ;4 ;3 ;6 ;4 ;20 ;16 ;5 ;11 ;7 ;6 ;7 ;4 ;7 ;6 ;11 ;3 ;7 ;3 ;5 ;15 ;4 ;7 ;2 ;17 ;7 
Сибирский ФО;6 ;27 ;17 ;19 ;11 ;38 ;19 ;47 ;60 ;57 ;18 ;43 ;12 ;41 ;40 ;146 ;47 ;70 ;37 ;22 ;28 ;22 ;105 ;43 ;95 ;52 ;26 ;95 ;38 ;75 ;58 ;32 ;40 ;47 ;64 ;55 ;67 ;60 
Республика Алтай;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;2 ;0 ;0 ;0 ;0 
Республика Тыва;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;2 ;0 ;0 ;0 ;1 ;10 ;2 ;0 ;0 ;0 ;0 ;4 ;2 ;2 
Республика Хакасия;0 ;1 ;1 ;0 ;0 ;1 ;1 ;0 ;4 ;1 ;1 ;0 ;0 ;2 ;3 ;2 ;0 ;2 ;0 ;0 ;2 ;1 ;1 ;1 ;1 ;0 ;4 ;5 ;4 ;0 ;1 ;6 ;4 ;1 ;2 ;5 ;1 ;0 
Алтайский край;0 ;2 ;1 ;2 ;0 ;0 ;0 ;9 ;4 ;9 ;1 ;14 ;3 ;2 ;2 ;3 ;11 ;2 ;2 ;3 ;1 ;2 ;0 ;2 ;1 ;10 ;4 ;5 ;2 ;0 ;1 ;4 ;5 ;3 ;1 ;9 ;9 ;4 
Красноярский край;0 ;4 ;4 ;3 ;1 ;1 ;3 ;1 ;14 ;2 ;2 ;6 ;2 ;4 ;2 ;2 ;3 ;7 ;5 ;4 ;4 ;2 ;4 ;5 ;5 ;3 ;5 ;2 ;4 ;6 ;2 ;4 ;4 ;6 ;10 ;4 ;1 ;6 
